"Date","Time","Open","High","Low","Close","Vol","OI"
05/08/2023,23:00,412.97,413.24,411.28,412.74,50047183,0
05/09/2023,23:00,411.13,412.09,410.69,410.93,49220225,0
05/10/2023,23:00,413.88,414.54,408.87,412.85,96143697,0
05/11/2023,23:00,411.95,412.43,409.97,412.13,70157803,0
05/12/2023,23:00,413.42,413.64,409.07,411.59,70492306,0
05/15/2023,23:00,412.22,413.43,410.23,413.01,54289412,0
05/16/2023,23:00,411.86,412.82,410.24,410.25,57705850,0
05/17/2023,23:00,412.35,415.86,410.64,415.23,87287492,0
05/18/2023,23:00,414.90,419.67,414.67,419.23,97177200,0
05/19/2023,23:00,420.17,420.72,417.35,418.62,103793631,0
05/22/2023,23:00,418.64,420.39,417.35,418.79,60745703,0
05/23/2023,23:00,417.08,418.72,413.68,414.09,86384701,0
05/24/2023,23:00,412.42,412.82,409.88,411.09,89213720,0
05/25/2023,23:00,414.74,416.16,412.41,414.65,90961810,0
05/26/2023,23:00,415.33,420.77,415.25,420.02,93830494,0
05/30/2023,23:00,422.03,422.58,418.74,420.18,72216088,0
05/31/2023,23:00,418.28,419.22,416.22,417.85,110811815,0
06/01/2023,23:00,418.09,422.92,416.79,421.82,88866415,0
06/02/2023,23:00,424.50,428.74,423.95,427.92,91426447,0
06/05/2023,23:00,428.28,429.62,426.37,427.10,65460683,0
06/06/2023,23:00,426.67,428.58,425.99,428.03,64022395,0
06/07/2023,23:00,428.44,429.62,426.11,426.55,85373281,0
06/08/2023,23:00,426.62,429.60,425.82,429.13,61952871,0
06/09/2023,23:00,429.96,431.99,428.87,429.90,85648652,0
06/12/2023,23:00,430.92,433.88,430.17,433.80,76257070,0
06/13/2023,23:00,435.32,437.33,434.63,436.66,95901815,0
06/14/2023,23:00,437.01,439.06,433.59,437.18,100616090,0
06/15/2023,23:00,436.33,443.90,436.23,442.60,110313813,0
06/16/2023,23:00,443.02,443.61,438.97,439.46,114167125,0
06/20/2023,23:00,437.45,438.37,435.03,437.18,76160471,0
06/21/2023,23:00,436.16,436.99,434.33,434.94,76982566,0
06/22/2023,23:00,433.95,436.62,433.60,436.51,70641459,0
06/23/2023,23:00,432.93,435.06,432.47,433.21,92074712,0
06/26/2023,23:00,432.62,434.61,431.19,431.44,72825289,0
06/27/2023,23:00,432.35,436.81,431.88,436.17,72813704,0
06/28/2023,23:00,435.05,437.44,434.41,436.39,75636282,0
06/29/2023,23:00,435.96,438.28,435.54,438.11,67904357,0
06/30/2023,23:00,441.44,444.30,441.11,443.28,104964163,0
07/03/2023,23:00,442.92,444.08,442.63,443.79,32795277,0
07/05/2023,23:00,441.91,443.89,441.90,443.13,58420131,0
07/06/2023,23:00,439.42,440.10,437.06,439.66,80660359,0
07/07/2023,23:00,438.63,442.64,438.30,438.55,86141672,0
07/10/2023,23:00,438.18,439.84,437.59,439.66,62444307,0
07/11/2023,23:00,440.45,442.97,439.44,442.46,64464654,0
07/12/2023,23:00,446.39,447.48,444.91,446.02,91924764,0
07/13/2023,23:00,447.90,450.38,447.45,449.56,72425842,0
07/14/2023,23:00,450.48,451.36,448.49,449.28,69815910,0
07/17/2023,23:00,449.13,451.93,449.08,450.84,52680429,0
07/18/2023,23:00,450.50,454.86,450.05,454.19,80744504,0
07/19/2023,23:00,455.01,456.43,454.11,455.20,65893009,0
07/20/2023,23:00,454.17,455.10,451.44,452.18,70591908,0
07/21/2023,23:00,453.96,454.17,452.17,452.18,71275825,0
07/24/2023,23:00,453.37,455.04,452.30,454.20,54023417,0
07/25/2023,23:00,453.92,456.74,453.87,455.44,55191244,0
07/26/2023,23:00,454.47,456.99,453.38,455.51,71064204,0
07/27/2023,23:00,459.02,459.44,451.55,452.49,92194609,0
07/28/2023,23:00,455.88,457.78,455.06,456.92,80011827,0
07/31/2023,23:00,457.41,458.16,456.05,457.79,62041429,0
08/01/2023,23:00,456.27,457.25,455.49,456.48,55511385,0
08/02/2023,23:00,453.25,453.52,449.35,450.13,93938019,0
08/03/2023,23:00,448.04,450.79,447.37,448.84,64430010,0
08/04/2023,23:00,450.72,452.90,446.27,446.81,100134901,0
08/07/2023,23:00,448.71,450.87,447.99,450.71,58357687,0
08/08/2023,23:00,448.08,449.23,445.27,448.75,71362000,0
08/09/2023,23:00,449.03,449.20,444.96,445.75,78789675,0
08/10/2023,23:00,448.19,451.70,444.70,445.91,93005531,0
08/11/2023,23:00,443.97,446.70,443.35,445.65,68692147,0
08/14/2023,23:00,444.70,448.11,444.38,448.11,47868977,0
08/15/2023,23:00,446.27,446.64,442.30,442.89,75707610,0
