entry_time,exit_time,entry_price,exit_price,side,pnl,tp_level,sl_level
2025-06-11 10:05:00,2025-06-11 10:10:00,6079.5,6082.25,short,-13.75,6077.0,6082.0
2025-06-11 10:15:00,2025-06-11 10:20:00,6079.0,6082.0,long,15.0,6081.5,6076.5
2025-06-11 10:25:00,2025-06-11 10:30:00,6081.75,6079.25,long,-12.5,6084.25,6079.25
2025-06-11 10:35:00,2025-06-11 10:40:00,6079.25,6081.75,long,12.5,6081.75,6076.75
2025-06-11 10:45:00,2025-06-11 10:50:00,6080.5,6083.0,long,12.5,6083.0,6078.0
2025-06-11 10:55:00,2025-06-11 11:00:00,6083.75,6086.25,short,-12.5,6081.25,6086.25
2025-06-11 11:05:00,2025-06-11 11:20:00,6085.5,6088.0,long,12.5,6088.0,6083.0
2025-06-11 11:25:00,2025-06-11 11:30:00,6085.5,6088.0,long,12.5,6088.0,6083.0
2025-06-11 11:35:00,2025-06-11 11:40:00,6086.75,6091.0,long,21.25,6089.25,6084.25
2025-06-12 10:05:00,2025-06-12 10:10:00,6068.5,6072.0,long,17.5,6071.0,6066.0
2025-06-12 10:15:00,2025-06-12 10:25:00,6071.0,6068.5,long,-12.5,6073.5,6068.5
2025-06-12 10:30:00,2025-06-12 10:35:00,6071.25,6067.75,long,-17.5,6073.75,6068.75
2025-06-12 10:40:00,2025-06-12 10:45:00,6063.75,6061.25,long,-12.5,6066.25,6061.25
2025-06-12 10:50:00,2025-06-12 10:55:00,6061.25,6058.5,long,-13.75,6063.75,6058.75
2025-06-13 10:05:00,2025-06-13 10:10:00,6020.75,6018.25,long,-12.5,6023.25,6018.25
2025-06-13 10:15:00,2025-06-13 10:20:00,6022.75,6020.25,long,-12.5,6025.25,6020.25
2025-06-13 10:25:00,2025-06-13 10:30:00,6017.75,6015.25,long,-12.5,6020.25,6015.25
2025-06-16 10:05:00,2025-06-16 10:10:00,6055.75,6060.25,long,22.5,6058.25,6053.25
2025-06-16 10:15:00,2025-06-16 10:20:00,6060.0,6064.25,long,21.25,6062.5,6057.5
2025-06-17 10:05:00,2025-06-17 10:10:00,6062.5,6065.0,long,12.5,6065.0,6060.0
2025-06-17 10:15:00,2025-06-17 10:20:00,6061.5,6059.0,long,-12.5,6064.0,6059.0
2025-06-17 10:25:00,2025-06-17 10:30:00,6057.5,6051.0,long,-32.5,6060.0,6055.0
2025-06-17 10:35:00,2025-06-17 10:40:00,6050.0,6052.5,long,12.5,6052.5,6047.5
2025-06-17 10:45:00,2025-06-17 10:50:00,6052.0,6054.5,long,12.5,6054.5,6049.5
2025-06-17 10:55:00,2025-06-17 11:00:00,6054.25,6056.75,short,-12.5,6051.75,6056.75
2025-06-17 11:05:00,2025-06-17 11:10:00,6053.25,6057.75,long,22.5,6055.75,6050.75
2025-06-17 11:15:00,2025-06-17 11:20:00,6060.25,6057.75,long,-12.5,6062.75,6057.75
2025-06-17 11:25:00,2025-06-17 11:30:00,6057.5,6060.0,long,12.5,6060.0,6055.0
2025-06-17 11:35:00,2025-06-17 11:40:00,6059.0,6061.5,long,12.5,6061.5,6056.5
2025-06-17 11:45:00,2025-06-17 11:50:00,6057.75,6060.25,long,12.5,6060.25,6055.25
2025-06-17 11:55:00,2025-06-17 12:00:00,6061.25,6057.75,long,-17.5,6063.75,6058.75
2025-06-17 12:05:00,2025-06-17 12:10:00,6061.0,6058.5,long,-12.5,6063.5,6058.5
2025-06-17 12:15:00,2025-06-17 12:20:00,6059.25,6056.25,long,-15.0,6061.75,6056.75
2025-06-17 12:25:00,2025-06-17 12:30:00,6055.5,6053.0,long,-12.5,6058.0,6053.0
2025-06-17 12:35:00,2025-06-17 12:40:00,6055.0,6052.0,long,-15.0,6057.5,6052.5
2025-06-18 10:05:00,2025-06-18 10:10:00,6049.5,6052.0,long,12.5,6052.0,6047.0
2025-06-18 10:15:00,2025-06-18 10:20:00,6052.5,6055.0,long,12.5,6055.0,6050.0
2025-06-18 10:25:00,2025-06-18 10:30:00,6053.75,6051.25,long,-12.5,6056.25,6051.25
2025-06-18 10:55:00,2025-06-18 11:00:00,6052.0,6049.5,long,-12.5,6054.5,6049.5
2025-06-18 11:05:00,2025-06-18 11:10:00,6052.0,6054.5,long,12.5,6054.5,6049.5
2025-06-18 11:15:00,2025-06-18 11:20:00,6055.5,6053.0,long,-12.5,6058.0,6053.0
2025-06-18 11:25:00,2025-06-18 12:00:00,6052.0,6054.5,long,12.5,6054.5,6049.5
2025-06-18 12:05:00,2025-06-18 12:10:00,6054.75,6060.5,long,28.75,6057.25,6052.25
2025-06-19 10:05:00,2025-06-19 10:10:00,6016.25,6013.75,long,-12.5,6018.75,6013.75
2025-06-19 10:15:00,2025-06-19 10:20:00,6013.0,6010.5,long,-12.5,6015.5,6010.5
2025-06-19 10:25:00,2025-06-19 10:30:00,6011.0,6003.75,long,-36.25,6013.5,6008.5
2025-06-20 10:05:00,2025-06-20 10:10:00,6021.0,6017.25,long,-18.75,6023.5,6018.5
2025-06-20 10:15:00,2025-06-20 10:20:00,6019.0,6021.5,long,12.5,6021.5,6016.5
2025-06-20 10:25:00,2025-06-20 10:30:00,6021.75,6024.25,long,12.5,6024.25,6019.25
2025-06-20 10:35:00,2025-06-20 10:50:00,6024.5,6027.0,long,12.5,6027.0,6022.0
2025-06-20 10:55:00,2025-06-20 11:05:00,6026.25,6028.75,long,12.5,6028.75,6023.75
2025-06-20 11:10:00,2025-06-20 11:15:00,6030.75,6033.25,long,12.5,6033.25,6028.25
2025-06-23 14:25:00,2025-06-23 14:30:00,6011.0,6008.5,long,-12.5,6013.5,6008.5
2025-06-23 14:35:00,2025-06-23 14:45:00,6011.0,6008.5,long,-12.5,6013.5,6008.5
2025-06-23 14:50:00,2025-06-23 14:55:00,6007.0,6009.5,long,12.5,6009.5,6004.5
2025-06-23 15:00:00,2025-06-23 15:05:00,6010.0,6013.0,long,15.0,6012.5,6007.5
2025-06-23 15:10:00,2025-06-23 15:15:00,6016.0,6012.0,long,-20.0,6018.5,6013.5
2025-06-23 15:20:00,2025-06-23 15:25:00,6017.25,6014.75,long,-12.5,6019.75,6014.75
2025-06-23 15:30:00,2025-06-23 15:35:00,6016.5,6019.0,long,12.5,6019.0,6014.0
2025-06-23 16:15:00,2025-06-23 16:20:00,6019.25,6023.0,long,18.75,6021.75,6016.75
2025-06-23 16:25:00,2025-06-23 16:30:00,6025.25,6022.75,long,-12.5,6027.75,6022.75
2025-06-23 16:35:00,2025-06-23 16:40:00,6025.25,6014.75,long,-52.5,6027.75,6022.75
2025-06-24 10:05:00,2025-06-24 10:10:00,6137.25,6139.75,short,-12.5,6134.75,6139.75
2025-06-24 10:15:00,2025-06-24 10:20:00,6137.5,6135.0,long,-12.5,6140.0,6135.0
2025-06-24 10:25:00,2025-06-24 10:30:00,6136.25,6133.75,long,-12.5,6138.75,6133.75
2025-06-25 10:05:00,2025-06-25 10:15:00,6145.5,6148.0,short,-12.5,6143.0,6148.0
2025-06-25 10:20:00,2025-06-25 10:35:00,6147.5,6145.0,short,12.5,6145.0,6150.0
2025-06-25 10:40:00,2025-06-25 10:50:00,6145.5,6143.0,short,12.5,6143.0,6148.0
2025-06-25 10:55:00,2025-06-25 11:05:00,6145.0,6147.5,short,-12.5,6142.5,6147.5
2025-06-25 11:10:00,2025-06-25 11:15:00,6146.25,6143.5,short,13.75,6143.75,6148.75
2025-06-25 11:20:00,2025-06-25 11:30:00,6146.25,6143.75,short,12.5,6143.75,6148.75
2025-06-25 11:35:00,2025-06-25 12:00:00,6144.5,6147.0,short,-12.5,6142.0,6147.0
2025-06-25 12:05:00,2025-06-25 12:25:00,6148.0,6150.5,short,-12.5,6145.5,6150.5
2025-06-25 12:30:00,2025-06-25 12:35:00,6150.25,6147.5,short,13.75,6147.75,6152.75
2025-06-25 12:40:00,2025-06-25 12:50:00,6147.25,6144.75,short,12.5,6144.75,6149.75
2025-06-25 12:55:00,2025-06-25 13:15:00,6144.75,6142.25,short,12.5,6142.25,6147.25
