entry_time,exit_time,entry_price,exit_price,side,pnl,tp_level,sl_level
2025-06-11 01:10:00,2025-06-11 01:55:00,6092.5,6095.0,short,-12.5,6090.0,6095.0
2025-06-11 02:00:00,2025-06-11 02:05:00,6098.0,6095.5,short,12.5,6095.5,6100.5
2025-06-11 02:20:00,2025-06-11 02:25:00,6094.75,6099.75,short,-25.0,6092.25,6097.25
2025-06-11 03:00:00,2025-06-11 03:05:00,6091.25,6093.75,short,-12.5,6088.75,6093.75
2025-06-12 01:15:00,2025-06-12 01:25:00,6077.75,6080.25,short,-12.5,6075.25,6080.25
2025-06-12 01:30:00,2025-06-12 01:35:00,6080.0,6082.5,short,-12.5,6077.5,6082.5
2025-06-12 01:40:00,2025-06-12 01:45:00,6083.25,6080.5,short,13.75,6080.75,6085.75
2025-06-12 02:15:00,2025-06-12 02:20:00,6071.0,6068.5,short,12.5,6068.5,6073.5
2025-06-12 02:30:00,2025-06-12 02:40:00,6070.25,6072.75,short,-12.5,6067.75,6072.75
2025-06-12 03:25:00,2025-06-12 03:30:00,6068.75,6066.25,short,12.5,6066.25,6071.25
2025-06-12 03:40:00,2025-06-12 03:45:00,6068.75,6065.5,short,16.25,6066.25,6071.25
2025-06-12 04:10:00,2025-06-12 04:20:00,6062.0,6064.5,short,-12.5,6059.5,6064.5
2025-06-12 04:25:00,2025-06-12 04:30:00,6064.5,6059.0,short,27.5,6062.0,6067.0
2025-06-12 04:50:00,2025-06-12 05:00:00,6053.5,6056.0,short,-12.5,6051.0,6056.0
2025-06-12 05:05:00,2025-06-12 05:10:00,6057.0,6054.5,short,12.5,6054.5,6059.5
2025-06-12 05:25:00,2025-06-12 05:50:00,6057.25,6054.75,short,12.5,6054.75,6059.75
2025-06-13 01:20:00,2025-06-13 01:25:00,6092.25,6089.5,short,13.75,6089.75,6094.75
2025-06-13 01:30:00,2025-06-13 01:35:00,6090.0,6087.5,short,12.5,6087.5,6092.5
2025-06-13 01:40:00,2025-06-13 01:50:00,6087.25,6089.75,short,-12.5,6084.75,6089.75
2025-06-13 01:55:00,2025-06-13 02:45:00,6089.0,6086.5,short,12.5,6086.5,6091.5
2025-06-13 02:50:00,2025-06-13 03:00:00,6086.5,6084.0,short,12.5,6084.0,6089.0
2025-06-16 01:25:00,2025-06-16 01:30:00,6023.0,6025.5,short,-12.5,6020.5,6025.5
2025-06-16 11:30:00,2025-06-16 11:35:00,6061.0,6063.5,short,-12.5,6058.5,6063.5
2025-06-16 11:50:00,2025-06-16 12:05:00,6066.0,6063.5,short,12.5,6063.5,6068.5
2025-06-16 12:30:00,2025-06-16 12:35:00,6059.75,6057.25,short,12.5,6057.25,6062.25
2025-06-16 13:00:00,2025-06-16 13:15:00,6056.5,6059.0,short,-12.5,6054.0,6059.0
2025-06-16 13:40:00,2025-06-16 13:45:00,6060.5,6058.0,short,12.5,6058.0,6063.0
2025-06-16 14:30:00,2025-06-16 14:35:00,6061.5,6064.0,short,-12.5,6059.0,6064.0
2025-06-16 15:15:00,2025-06-16 15:25:00,6072.5,6075.0,short,-12.5,6070.0,6075.0
2025-06-16 16:10:00,2025-06-16 16:30:00,6071.25,6068.75,short,12.5,6068.75,6073.75
2025-06-16 16:40:00,2025-06-16 16:45:00,6078.5,6076.0,short,12.5,6076.0,6081.0
2025-06-16 17:50:00,2025-06-16 17:55:00,6106.0,6103.5,short,12.5,6103.5,6108.5
2025-06-16 18:20:00,2025-06-16 18:25:00,6101.0,6103.5,short,-12.5,6098.5,6103.5
2025-06-16 18:30:00,2025-06-16 18:35:00,6104.25,6097.75,short,32.5,6101.75,6106.75
2025-06-16 18:50:00,2025-06-16 18:55:00,6099.25,6096.75,short,12.5,6096.75,6101.75
2025-06-17 01:25:00,2025-06-17 01:35:00,6087.75,6085.25,short,12.5,6085.25,6090.25
2025-06-17 02:00:00,2025-06-17 02:05:00,6074.75,6071.75,short,15.0,6072.25,6077.25
2025-06-17 02:10:00,2025-06-17 02:20:00,6075.0,6077.5,short,-12.5,6072.5,6077.5
2025-06-17 03:15:00,2025-06-17 03:20:00,6058.0,6060.5,short,-12.5,6055.5,6060.5
2025-06-17 03:25:00,2025-06-17 03:30:00,6064.0,6066.5,short,-12.5,6061.5,6066.5
2025-06-17 04:35:00,2025-06-17 04:40:00,6066.25,6063.75,short,12.5,6063.75,6068.75
2025-06-17 04:55:00,2025-06-17 05:05:00,6068.25,6065.75,short,12.5,6065.75,6070.75
2025-06-17 05:45:00,2025-06-17 05:55:00,6059.5,6062.0,short,-12.5,6057.0,6062.0
2025-06-17 06:40:00,2025-06-17 06:50:00,6070.75,6068.25,short,12.5,6068.25,6073.25
2025-06-17 06:55:00,2025-06-17 07:00:00,6071.0,6068.5,short,12.5,6068.5,6073.5
2025-06-17 07:25:00,2025-06-17 07:30:00,6070.5,6068.0,short,12.5,6068.0,6073.0
2025-06-18 05:15:00,2025-06-18 05:25:00,6042.25,6044.75,short,-12.5,6039.75,6044.75
2025-06-18 06:25:00,2025-06-18 06:30:00,6043.75,6041.25,short,12.5,6041.25,6046.25
2025-06-18 11:40:00,2025-06-18 11:50:00,6051.25,6053.75,short,-12.5,6048.75,6053.75
2025-06-18 13:25:00,2025-06-18 13:30:00,6053.0,6048.5,short,22.5,6050.5,6055.5
2025-06-18 14:15:00,2025-06-18 14:20:00,6037.0,6039.5,short,-12.5,6034.5,6039.5
2025-06-18 18:10:00,2025-06-18 18:15:00,6070.25,6065.75,short,22.5,6067.75,6072.75
2025-06-18 18:45:00,2025-06-18 18:50:00,6063.25,6060.75,short,12.5,6060.75,6065.75
2025-06-18 18:55:00,2025-06-18 19:00:00,6063.25,6066.25,short,-15.0,6060.75,6065.75
2025-06-18 19:50:00,2025-06-18 19:55:00,6059.0,6061.5,short,-12.5,6056.5,6061.5
2025-06-18 20:45:00,2025-06-18 20:50:00,6050.25,6054.5,short,-21.25,6047.75,6052.75
2025-06-18 22:20:00,2025-06-18 22:25:00,6045.5,6048.0,short,-12.5,6043.0,6048.0
2025-06-18 22:50:00,2025-06-18 22:55:00,6049.0,6044.75,short,21.25,6046.5,6051.5
2025-06-19 01:30:00,2025-06-19 01:35:00,6032.75,6030.25,short,12.5,6030.25,6035.25
2025-06-19 02:00:00,2025-06-19 02:05:00,6031.0,6033.5,short,-12.5,6028.5,6033.5
2025-06-20 12:15:00,2025-06-20 12:20:00,6018.0,6020.5,short,-12.5,6015.5,6020.5
2025-06-20 17:20:00,2025-06-20 17:25:00,6046.75,6049.25,short,-12.5,6044.25,6049.25
2025-06-20 17:45:00,2025-06-20 17:50:00,6038.25,6028.5,short,48.75,6035.75,6040.75
2025-06-20 18:20:00,2025-06-20 18:25:00,6026.75,6030.25,short,-17.5,6024.25,6029.25
2025-06-20 19:15:00,2025-06-20 19:20:00,6025.75,6021.5,short,21.25,6023.25,6028.25
2025-06-23 16:45:00,2025-06-23 16:50:00,6030.25,6032.75,short,-12.5,6027.75,6032.75
2025-06-23 18:10:00,2025-06-23 18:15:00,6047.5,6050.0,short,-12.5,6045.0,6050.0
2025-06-23 19:50:00,2025-06-23 19:55:00,6021.5,6019.0,short,12.5,6019.0,6024.0
2025-06-23 22:05:00,2025-06-23 22:10:00,6061.25,6068.0,short,-33.75,6058.75,6063.75
2025-06-24 02:00:00,2025-06-24 02:05:00,6096.75,6101.5,short,-23.75,6094.25,6099.25
2025-06-24 02:20:00,2025-06-24 02:25:00,6106.5,6109.5,short,-15.0,6104.0,6109.0
2025-06-25 01:10:00,2025-06-25 01:25:00,6139.25,6141.75,short,-12.5,6136.75,6141.75
2025-06-25 01:30:00,2025-06-25 02:05:00,6140.5,6143.0,short,-12.5,6138.0,6143.0
2025-06-25 02:10:00,2025-06-25 02:20:00,6141.75,6139.25,short,12.5,6139.25,6144.25
2025-06-25 02:25:00,2025-06-25 02:30:00,6139.5,6142.0,short,-12.5,6137.0,6142.0
2025-06-25 02:35:00,2025-06-25 03:00:00,6141.25,6143.75,short,-12.5,6138.75,6143.75
