long_threshold,short_threshold,min_volume_pct_change,bar_color_filter,profit_factor,win_rate,avg_return,avg_pnl,max_drawdown,num_trades,risk_violations,daily_loss_violations,direction_tag,suggested_contracts,stop_ticks,stop_loss_dollars,error
0.5,0.5,0.0,True,0.7057356608478803,0.4339622641509434,-2.7830188679245285,-2.7830188679245285,247.5,53,12,0,both,1,10,0,
0.5,0.5,0.0,False,0.8879668049792531,0.4868421052631579,-0.8881578947368421,-0.8881578947368421,185.0,76,14,0,both,1,10,0,
0.5,0.5,0.05,True,0.7057356608478803,0.4339622641509434,-2.7830188679245285,-2.7830188679245285,247.5,53,12,0,both,1,10,0,
0.5,0.5,0.05,False,0.8879668049792531,0.4868421052631579,-0.8881578947368421,-0.8881578947368421,185.0,76,14,0,both,1,10,0,
0.5,1.0,0.0,True,0.7418604651162791,0.4406779661016949,-2.3516949152542375,-2.3516949152542375,207.5,59,13,0,both,1,10,0,
0.5,1.0,0.0,False,0.8879668049792531,0.4868421052631579,-0.8881578947368421,-0.8881578947368421,185.0,76,14,0,both,1,10,0,
0.5,1.0,0.05,True,0.7418604651162791,0.4406779661016949,-2.3516949152542375,-2.3516949152542375,207.5,59,13,0,both,1,10,0,
0.5,1.0,0.05,False,0.8879668049792531,0.4868421052631579,-0.8881578947368421,-0.8881578947368421,185.0,76,14,0,both,1,10,0,
0.5,1.5,0.0,True,0.7869249394673123,0.4166666666666667,-1.8333333333333333,-1.8333333333333333,148.75,60,14,0,both,1,10,0,
0.5,1.5,0.0,False,0.8879668049792531,0.4868421052631579,-0.8881578947368421,-0.8881578947368421,185.0,76,14,0,both,1,10,0,
0.5,1.5,0.05,True,0.7869249394673123,0.4166666666666667,-1.8333333333333333,-1.8333333333333333,148.75,60,14,0,both,1,10,0,
0.5,1.5,0.05,False,0.8879668049792531,0.4868421052631579,-0.8881578947368421,-0.8881578947368421,185.0,76,14,0,both,1,10,0,
0.5,2.0,0.0,True,0.9451754385964912,0.48,-0.4166666666666667,-0.4166666666666667,78.75,75,14,0,both,1,10,0,
0.5,2.0,0.0,False,0.8879668049792531,0.4868421052631579,-0.8881578947368421,-0.8881578947368421,185.0,76,14,0,both,1,10,0,
0.5,2.0,0.05,True,0.9451754385964912,0.48,-0.4166666666666667,-0.4166666666666667,78.75,75,14,0,both,1,10,0,
0.5,2.0,0.05,False,0.8879668049792531,0.4868421052631579,-0.8881578947368421,-0.8881578947368421,185.0,76,14,0,both,1,10,0,
0.5,2.5,0.0,True,1.0828516377649327,0.5222222222222223,0.5972222222222222,0.5972222222222222,178.75,90,17,0,both,1,10,0,
0.5,2.5,0.0,False,0.7781885397412199,0.45121951219512196,-1.829268292682927,-1.829268292682927,207.5,82,13,0,both,1,10,0,
0.5,2.5,0.05,True,1.0635838150289016,0.5168539325842697,0.46348314606741575,0.46348314606741575,178.75,89,17,0,both,1,10,0,
